Invoice_ID,Invoice_Header,Invoice_Year,Invoice_Amount,Invoice_Vendor,Invoice_Due_Date,Invoice_Vendor_City
2018000866_2018_IT10,2018000866,2018,1281.61,VND07472,2018-03-31,
2018000869_2018_IT10,2018000869,2018,1456.68,VND04468,2018-03-31,
2018000875_2018_IT10,2018000875,2018,127.19,VND04529,2018-03-29,
2018000876_2018_IT10,2018000876,2018,234.85,VND04529,2018-03-19,
2018000879_2018_IT10,2018000879,2018,2049.60,VND04361,2018-02-28,Moscow
2018000880_2018_IT10,2018000880,2018,7320.00,VND04361,2018-02-28,Moscow
2018000881_2018_IT10,2018000881,2018,2830.40,VND04361,2018-02-28,Moscow
2018000885_2018_IT10,2018000885,2018,105.00,VND05084,2018-01-10,
2018000887_2018_IT10,2018000887,2018,593.00,VND05084,2018-01-10,
2018000890_2018_IT10,2018000890,2018,301.78,VND05269,2018-03-31,
2018000895_2018_IT10,2018000895,2018,2914.58,VND05634,2018-03-31,
2018000900_2018_IT10,2018000900,2018,2806.00,VND06458,2018-04-08,
2018000902_2018_IT10,2018000902,2018,2928.00,VND04681,2018-03-31,
2018000903_2018_IT10,2018000903,2018,2928.00,VND04681,2018-03-31,
2018000911_2018_IT10,2018000911,2018,699.11,VND04443,2018-03-31,Berlin
2018000912_2018_IT10,2018000912,2018,1639.68,VND06208,2018-03-31,
2018000930_2018_IT10,2018000930,2018,887.54,VND07930,2018-04-30,
2018000931_2018_IT10,2018000931,2018,343.35,VND07930,2018-04-30,
2018000934_2018_IT10,2018000934,2018,1495.40,VND07930,2018-04-30,
2018000937_2018_IT10,2018000937,2018,1162.90,VND07930,2018-04-30,
2018000938_2018_IT10,2018000938,2018,302.10,VND07930,2018-04-30,
2018000946_2018_IT10,2018000946,2018,301.78,VND05269,2018-03-31,
2018000947_2018_IT10,2018000947,2018,266.90,VND05269,2018-03-31,
2018000970_2018_IT10,2018000970,2018,160.64,VND07161,2018-03-31,
2018000971_2018_IT10,2018000971,2018,79.14,VND07161,2018-03-31,
2018000973_2018_IT10,2018000973,2018,658.56,VND06216,2018-04-22,
2018000974_2018_IT10,2018000974,2018,731.02,VND06216,2018-04-22,
2018000981_2018_IT10,2018000981,2018,436.76,VND04539,2018-03-31,
2018000982_2018_IT10,2018000982,2018,196.30,VND04539,2018-04-30,
2018000989_2018_IT10,2018000989,2018,2818.20,VND06458,2018-03-31,
2018001006_2018_IT10,2018001006,2018,2.14,VND05583,2018-03-31,
2018001007_2018_IT10,2018001007,2018,17.75,VND05583,2018-03-31,
2018001009_2018_IT10,2018001009,2018,10.94,VND05583,2018-03-31,
2018001011_2018_IT10,2018001011,2018,75.27,VND05583,2018-03-31,
2018001012_2018_IT10,2018001012,2018,642.04,VND07617,2018-04-30,
2018001022_2018_IT10,2018001022,2018,709.31,VND06436,2018-03-31,
2018001023_2018_IT10,2018001023,2018,346.48,VND06436,2018-03-31,
2018001024_2018_IT10,2018001024,2018,849.91,VND06436,2018-03-31,
2018001025_2018_IT10,2018001025,2018,1699.83,VND06436,2018-03-31,
2018001027_2018_IT10,2018001027,2018,2453.08,VND05269,2018-03-31,
2018001028_2018_IT10,2018001028,2018,6132.70,VND05269,2018-03-31,
2018001029_2018_IT10,2018001029,2018,3066.35,VND05269,2018-03-31,
2018001031_2018_IT10,2018001031,2018,279.16,VND05752,2018-03-31,
2018001032_2018_IT10,2018001032,2018,524.91,VND05080,2018-03-31,
2018001033_2018_IT10,2018001033,2018,1531.83,VND05080,2018-03-31,
2018001034_2018_IT10,2018001034,2018,686.91,VND03836,2018-03-31,
2018001035_2018_IT10,2018001035,2018,330.62,VND05818,2018-03-31,
2018001036_2018_IT10,2018001036,2018,123.23,VND06746,2018-03-31,
2018001037_2018_IT10,2018001037,2018,284.94,VND06746,2018-03-31,
2018001039_2018_IT10,2018001039,2018,420.12,VND07115,2018-03-31,
2018001041_2018_IT10,2018001041,2018,7086.98,VND04611,2018-03-02,
2018001042_2018_IT10,2018001042,2018,1062.80,VND04611,2018-03-02,
2018001043_2018_IT10,2018001043,2018,41749.01,VND04611,2018-03-05,
2018001044_2018_IT10,2018001044,2018,524.60,VND04611,2018-03-06,
2018001048_2018_IT10,2018001048,2018,2318.00,VND03986,2018-03-31,
2018001056_2018_IT10,2018001056,2018,272.30,VND06742,2018-03-31,
2018001059_2018_IT10,2018001059,2018,828.04,VND05014,2018-03-31,
2018001071_2018_IT10,2018001071,2018,1414.35,VND06530,2018-04-30,
2018001072_2018_IT10,2018001072,2018,165.72,VND05510,2018-03-31,
2018001097_2018_IT10,2018001097,2018,6075.60,VND06989,2018-02-16,
2018001099_2018_IT10,2018001099,2018,10980.00,VND05443,2018-02-28,Moscow
2018001108_2018_IT10,2018001108,2018,5673.00,VND06521,2018-03-31,
2018001109_2018_IT10,2018001109,2018,3827.74,VND07361,2018-02-24,
2018001111_2018_IT10,2018001111,2018,522.16,VND06772,2018-03-31,
2018001115_2018_IT10,2018001115,2018,20.95,VND04765,2018-03-31,
2018001120_2018_IT10,2018001120,2018,57.71,VND07212,2018-03-31,
2018001121_2018_IT10,2018001121,2018,714.92,VND04334,2018-03-31,
2018001123_2018_IT10,2018001123,2018,225.70,VND04334,2018-03-31,
2018001127_2018_IT10,2018001127,2018,1145.00,VND05244,2018-03-29,
2018001128_2018_IT10,2018001128,2018,2020.00,VND05244,2018-03-30,
2018001137_2018_IT10,2018001137,2018,1348.40,VND07757,2018-02-21,
2018001138_2018_IT10,2018001138,2018,1082.50,VND06032,2018-02-12,
2018001154_2018_IT10,2018001154,2018,1126.55,VND06329,2018-03-31,
